"node_id","node_type","layer","label","degree","weighted_degree","in_degree","out_degree","betweenness_centrality","eigenvector_centrality","component_id"
"IHR-OBL-010","ihr2005_obligation","international_normative_layer","IHR Art. 13(1) — Public health response","12","14.6","7","5","0.000174","0.000648","0"
"DOM_CC4___RESPONSE","implementation_domain","analytical_assessment_layer","CC4 – Response","21","21.0","21","0","0.0","0.17021","0"
"DOM_CC8___LABORATORY","implementation_domain","analytical_assessment_layer","CC8 – Laboratory","3","3.0","3","0","0.0","0.036337","0"
"IHR-OBL-011","ihr2005_obligation","international_normative_layer","IHR Annex 1A, par.2 — Core capacity requirements — self-assessment and action planning","7","7.1","3","4","7.1e-05","0.00021","0"
"IHR-OBL-012","ihr2005_obligation","international_normative_layer","IHR Annex 1A, par.4 — Core capacity — community and primary public health response level","6","6.6","3","3","3.8e-05","0.000243","0"
"IHR-OBL-013","ihr2005_obligation","international_normative_layer","IHR Annex 1A, par.5 — Core capacity — intermediate public health response level","6","6.6","3","3","5.6e-05","0.000243","0"
"IHR-OBL-014","ihr2005_obligation","international_normative_layer","IHR Annex 1A, par.6 (assessment) — Core capacity — national level assessment and notification","8","8.6","3","5","6.6e-05","0.000243","0"
"IHR-OBL-015","ihr2005_obligation","international_normative_layer","IHR Annex 1A, par.6 (response) — Core capacity — national level public health response","8","8.9","3","5","6e-05","0.000264","0"
"DOM_CC2___COORDINATION","implementation_domain","analytical_assessment_layer","CC2 – Coordination","7","7.0","7","0","0.0","0.067434","0"
"IHR-OBL-016","ihr2005_obligation","international_normative_layer","IHR Annex 1B, par.1 — Core capacity — designated PoE baseline (at all times)","7","8.2","3","4","3.7e-05","0.000284","0"
"IHR-OBL-017","ihr2005_obligation","international_normative_layer","IHR Annex 1B, par.2 — Core capacity — designated PoE PHEIC response","8","8.3","3","5","8.6e-05","0.000223","0"
"IHR-OBL-018","ihr2005_obligation","international_normative_layer","IHR Art. 19 — General obligations at points of entry","8","9.2","3","5","8e-05","0.000284","0"
"IHR-OBL-019","ihr2005_obligation","international_normative_layer","IHR Art. 20(1) — Airports and ports — designation","7","7.9","3","4","6.5e-05","0.000264","0"
"DOM_CC1___LEGISLATION","implementation_domain","analytical_assessment_layer","CC1 – Legislation","13","13.0","13","0","0.0","0.082242","0"
"IHR-OBL-020","ihr2005_obligation","international_normative_layer","IHR Art. 20(2) — Airports and ports — Ship Sanitation Certificates","6","6.6","3","3","3.4e-05","0.000243","0"
"IHR-OBL-021","ihr2005_obligation","international_normative_layer","IHR Art. 20(3) — Airports and ports — notification of authorized ports to WHO","4","3.8","1","3","1.9e-05","5.5e-05","0"
"IHR-OBL-022","ihr2005_obligation","international_normative_layer","IHR Art. 21 — Ground crossings — designation and bilateral agreements","8","8.0","3","5","8.6e-05","0.000203","0"
"IHR-OBL-023","ihr2005_obligation","international_normative_layer","IHR Art. 22(1) — Role of competent authorities at PoE","7","7.7","2","5","4.6e-05","0.000183","0"
"IHR-OBL-024","ihr2005_obligation","international_normative_layer","IHR Art. 23(3) — Health measures on arrival and departure — informed consent","6","6.1","2","4","1.7e-05","0.000142","0"
"DOM_RIGHTS_PROTECTION","implementation_domain","analytical_assessment_layer","Rights Protection","12","12.0","12","0","0.0","0.068277","0"
"IHR-OBL-025","ihr2005_obligation","international_normative_layer","IHR Art. 23(4) — Health measures on arrival and departure — vaccination risk information","5","4.8","2","3","2.3e-05","0.000122","0"
"IHR-OBL-026","ihr2005_obligation","international_normative_layer","IHR Art. 24(1) — Conveyance operators — obligations","9","9.7","4","5","0.000102","0.000318","0"
"IHR-OBL-027","ihr2005_obligation","international_normative_layer","IHR Art. 27(1) — Affected conveyances — health measures","6","6.3","3","3","3.5e-05","0.000223","0"
"IHR-OBL-028","ihr2005_obligation","international_normative_layer","IHR Art. 30 — Travellers under public health observation","7","6.8","2","5","3.6e-05","0.000122","0"
"IHR-OBL-029","ihr2005_obligation","international_normative_layer","IHR Art. 31(1) — Health measures relating to entry — prohibition on invasive entry conditions","6","6.1","2","4","1.7e-05","0.000142","0"
"IHR-OBL-030","ihr2005_obligation","international_normative_layer","IHR Art. 31(2) — Health measures relating to entry — compulsory measures in exceptional circumstances","7","7.1","2","5","3e-05","0.000142","0"
"IHR-OBL-031","ihr2005_obligation","international_normative_layer","IHR Art. 32 — Treatment of travellers","6","5.8","2","4","2.4e-05","0.000122","0"
"IHR-OBL-032","ihr2005_obligation","international_normative_layer","IHR Art. 35 — General rule — no additional health documents in international traffic","6","6.4","2","4","4.5e-05","0.000163","0"
"IHR-OBL-033","ihr2005_obligation","international_normative_layer","IHR Art. 36 — Certificates of vaccination or other prophylaxis","6","6.1","2","4","4.9e-05","0.000142","0"
"IHR-OBL-034","ihr2005_obligation","international_normative_layer","IHR Art. 37 — Maritime Declaration of Health","6","6.9","3","3","4.5e-05","0.000264","0"
"IHR-OBL-035","ihr2005_obligation","international_normative_layer","IHR Art. 38 — Health Part of the Aircraft General Declaration","4","3.9","1","3","8e-06","6.2e-05","0"
"IHR-OBL-036","ihr2005_obligation","international_normative_layer","IHR Art. 39 — Ship sanitation certificates — issuance and validity","5","5.1","2","3","1.9e-05","0.000142","0"
"IHR-OBL-037","ihr2005_obligation","international_normative_layer","IHR Art. 40 — Charges for health measures regarding travellers","5","4.1","1","4","2.2e-05","8e-06","0"
"IHR-OBL-038","ihr2005_obligation","international_normative_layer","IHR Art. 41 — Charges for health measures on goods, cargo, containers, and conveyances","4","3.6","1","3","1.9e-05","4.1e-05","0"
"IHR-OBL-039","ihr2005_obligation","international_normative_layer","IHR Art. 42 — Implementation of health measures — transparency and non-discrimination","7","6.7","2","5","5.2e-05","0.000115","0"
